timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
27.39121,0.03129454,0.01955442,0.02440488,0.008433613,-0.0002691915,0.001968147
27.39121,1.579308,-0.008156305,0.02178245,0.004736153,0.001373972,-0.01094895
27.43469,-0.00969489,0.02470725,0.03336093,-0.002623396,0.002378998,0.003034996
27.43469,2.641285,0.02121584,-0.03725328,0.007083203,-0.0005704155,0.006324951
27.47817,-0.007676293,0.0272785,0.003175888,0.007258728,-0.005588405,0.01642347
27.47817,1.636178,0.004319982,-0.01916908,0.002207482,0.004655872,0.0004947736
27.52165,0.01192468,0.002150682,0.00583015,0.001880425,-0.001476799,0.001302672
27.52165,0.9389427,-0.0007761157,0.01217472,0.001291653,0.006897291,-0.001390875
27.56513,-0.03046814,-0.02205963,-0.01204497,-0.004645641,3.007817E-05,0.0005825441
27.56513,-11.0634,0.02653112,-0.1349859,0.004343083,0.01162664,-0.001176942
27.6086,-0.04394408,0.02611752,0.01774831,-0.0004889731,-0.006961385,0.006107361
27.6086,11.85118,0.01265785,0.1432584,-0.0005652476,-0.006367197,-0.005931047
27.65208,0.01940223,-0.01305616,-0.004512255,-0.0040532,0.0004568694,0.009481751
27.65208,-11.18176,0.02018739,-0.1245982,-0.0004074855,0.005631194,-0.0003830036
27.69556,-0.003246833,-0.01923847,0.02149766,0.001122097,0.002203919,0.002531049
27.69556,11.25289,-0.03483747,0.1005105,-0.001045939,-0.01403037,0.001587659
27.73904,-0.01246179,-0.001898128,-0.008951634,0.004650963,-0.005253221,-0.004549316
27.73904,-0.9284295,0.01188229,-0.016357,0.0005256457,-0.001665243,-0.0004349393
27.78252,-0.005006477,0.0009979991,-0.01609062,-0.004537753,0.005811626,-0.003472707
27.78252,-10.90735,-0.03766337,-0.1048402,-0.003728004,0.0008739371,0.003803879
27.82599,-0.02056576,0.005277526,0.002209862,-0.0008180079,0.005547078,0.005796079
27.82599,9.465067,0.01724212,0.1462507,0.007061973,0.001671283,-0.01434299
27.86947,0.02687174,0.01954878,-0.0002028601,0.00117331,-0.006637358,0.000155491
27.86947,-1.879673,0.02109675,0.02268829,-0.005701285,-0.006837899,-0.003108325
27.91295,0.002093676,0.006627966,-0.01259234,-0.0004000656,0.001507345,-0.006421286
27.91295,-1.40321,-0.0112228,-0.00907154,0.002834495,-0.00560631,-0.003146496
27.95643,-0.0006780898,0.02488813,-0.01376433,-0.007220948,0.00843308,0.007418752
27.95643,-2.103945,-0.02309887,0.01798707,0.0002725215,-0.003293608,-0.007091295
27.99991,-0.004612667,0.005494961,-0.002385631,-0.005260422,-0.0009013588,-3.674165E-05
27.99991,-2.902988,-0.00220799,-0.02849347,0.005328551,0.001528357,0.007634038
28.04338,0.01450793,-0.0008822104,-0.0003121832,0.00682806,0.004871523,-0.008018085
28.04338,-3.645,0.009235836,-0.0321351,0.01382822,0.01191224,-0.004567442
28.08686,-0.01341041,-0.0318444,-0.01948518,-0.009063861,0.00126044,-0.007286266
28.08686,-3.717904,-0.005868292,-0.007157767,-0.006894903,-0.004701384,-0.001984436
28.13034,-0.02030149,0.007346252,-0.01710224,-0.003772808,-0.004377273,0.009981547
28.13034,-6.83777,-0.007560159,-0.04923034,-0.00379853,0.006622761,-0.006034237
28.17382,-0.02206119,-0.02177145,-0.04081402,0.00164524,-0.0007243952,0.002145267
28.17382,2.727102,0.01089919,0.04088571,0.00133385,-0.01753472,0.00234249
28.2173,-0.006687189,0.00182207,0.008154368,-0.006510751,0.003039191,0.002745496
28.2173,-4.667001,-0.002926007,0.006260209,0.002773935,-0.004634231,-0.0001770959
28.26077,0.008610996,0.005379188,-0.02849753,-0.001439174,-0.0009508771,0.0001286303
28.26077,-3.252525,-0.008345025,-0.01559223,-0.00598068,0.001586988,-0.001549551
28.30425,0.01402867,0.03955768,0.02804735,0.002353871,0.0005486655,0.0009279058
28.30425,-2.747302,0.003647748,-0.003818831,0.007278141,-0.008421941,0.00226578
28.34773,0.01539297,-0.01389497,-0.01433009,-0.001623115,-0.001367737,0.002655447
28.34773,-4.513996,0.04774394,-0.006493302,-0.0005034252,-0.001621062,-0.0002167904
28.39121,0.007029766,-0.02469988,0.0370006,-0.002052986,-0.001606533,0.00519736
28.39121,-7.060438,0.008707385,0.00225513,0.006979427,-0.002707638,-0.0006389919
28.43469,-0.001496891,0.03443836,-0.001088702,-0.003146548,0.001754859,0.008796521
28.43469,-0.9732523,0.004866476,-0.005100768,0.004276627,-0.0003086824,-0.009341475
28.47816,0.0006391699,-0.002971837,0.01888778,-0.007879649,-0.002864386,-0.00582297
28.47816,-3.861702,0.005461751,-0.0380165,0.008866741,-0.005800595,-0.005737903
28.52164,-0.005934578,0.00729244,0.02329413,0.01026922,-0.006070466,0.009901397
28.52164,-4.78982,-0.0004577255,-0.005864155,-0.006188085,-0.005846137,0.003554082
28.56512,-0.04716847,0.01241927,-0.02609441,-0.00568781,0.009793674,0.01189744
28.56512,-5.862162,0.03159368,0.009222344,0.003842387,-0.002349328,-0.004320638
28.6086,-0.02006146,-0.03772651,-0.00883309,0.008833737,0.007996183,0.002195309
28.6086,-2.490418,-0.03655947,-0.02448593,-0.006839427,0.01041301,0.0008622771
28.65208,-0.02438828,0.009054164,0.005598134,0.001113797,0.003641102,0.004628412
28.65208,-4.238007,0.02798931,-0.02266742,-0.007651305,0.001030022,0.001153552
28.69555,-0.004354909,-0.02583878,0.01657753,0.005351843,-0.002739192,-0.00285213
28.69555,3.171422,-0.005169912,0.3413351,0.007217905,-0.002282714,-0.0005777506
28.73903,0.02779594,-0.008245247,-0.01462007,-0.003278517,0.003269802,-0.002292369
28.73903,-7.889451,0.001191551,-0.3661145,-0.00113357,0.002516691,-0.006332836
28.78251,0.0412744,0.009624685,-0.0002773046,-2.572018E-05,-0.001828903,0.01530756
28.78251,-4.4286,-0.01966713,0.002771002,-0.004607725,0.000999931,-0.008407492
28.82599,0.03615005,0.008984673,0.02772172,0.009121546,-0.005148861,-0.002300845
28.82599,-2.767919,-0.03529187,0.03543285,0.01179965,0.004133736,-0.001786199
28.86947,-1.905046E-06,0.01879686,-0.01529865,0.008871728,0.003395976,0.006443013
28.86947,-3.177289,0.03810589,0.007460696,0.01416252,-0.008187829,0.002324979
28.91294,-0.01367318,-0.01670597,-0.01690949,-0.0007368661,-0.001928797,0.003254699
28.91294,-3.097426,-0.02557655,0.005837964,0.0091476,0.00546305,-0.001332457
28.95642,-0.01133452,0.009995326,0.02262694,-0.004060087,0.006098689,0.00871601
28.95642,-1.605059,0.02689965,0.003136689,-0.004185738,-0.002363374,0.009178143
28.9999,5.287075E-05,0.006457719,0.02474923,0.01253449,-0.001526275,-0.0008154743
28.9999,-1.466701,-0.008518962,0.01505966,-0.008555914,-0.002288406,0.003265095
29.04338,-0.02285383,0.006890978,-0.04612952,-0.005436835,-0.001724649,0.001987319
29.04338,-1.818402,0.005550255,0.01988531,-0.007618898,0.000115387,-0.0008341628
29.08686,-0.00365684,0.01703303,-0.02037431,0.003701233,0.004942151,0.007097979
29.08686,-0.907238,0.01395366,-0.004162686,-0.008561846,0.0002179916,0.0007548992
29.13033,0.02461928,-0.002889296,-0.007296497,0.004787573,-0.002341555,-0.0004826935
29.13033,-0.8139305,-0.0156944,-0.01953291,-0.001205197,0.00457351,-0.00209427
29.17381,0.04543085,0.02931773,-0.006046932,0.001269796,0.005688067,0.003776524
29.17381,-0.4750563,0.0004710621,0.01331171,-0.002884342,0.001330222,0.004506478
29.21729,-0.02121118,0.006760945,0.009090635,-0.0001885422,0.0008588861,-0.00825619
29.21729,-0.2806074,-0.02302495,-0.002306606,0.002308981,0.005065672,-0.0009565368
29.26077,0.001460813,0.01586707,-0.02324399,0.009033025,0.007628974,-0.008291041
29.26077,0.1452454,0.01900827,-0.02557709,0.002811419,0.008279624,0.002513707
29.30425,0.0303432,0.01956818,-0.003173756,-0.001754501,-0.004415769,-0.004870168
